ID,가격
TEST_00107,22.88
TEST_00108,74.88
TEST_00109,32.37
TEST_00110,28.47
TEST_00111,129.87
TEST_00112,56.94
TEST_00113,122.07
TEST_00114,15.47
TEST_00115,16.9
TEST_00116,40.17
TEST_00117,50.57
TEST_00118,7.8
TEST_00119,19.37
TEST_00120,6.37
TEST_00121,45.5
TEST_00122,23.27
TEST_00123,41.59
TEST_00124,35.1
TEST_00125,81.77
TEST_00126,38.35
TEST_00127,18.85
TEST_00128,82.55
TEST_00129,50.57
TEST_00130,24.96
TEST_00131,16.77
TEST_00132,51.87
TEST_00133,25.61
TEST_00134,120.77
TEST_00135,21.71
TEST_00136,14.17
TEST_00137,11.05
TEST_00138,20.67
TEST_00139,48.75
TEST_00140,102.57
TEST_00141,110.5
TEST_00142,38.87
TEST_00143,29.77
TEST_00144,28.47
TEST_00145,24.64
TEST_00146,68.77
TEST_00147,60.45
TEST_00148,38.35
TEST_00149,77.09
TEST_00150,131.17
TEST_00151,29.77
TEST_00152,68.77
TEST_00153,24.7
TEST_00154,64.87
TEST_00155,16.77
TEST_00156,2.47
TEST_00157,94.77
TEST_00158,108.94
TEST_00159,70.07
TEST_00160,54.34
TEST_00161,67.47
TEST_00162,34.97
TEST_00163,99.97
TEST_00164,115.7
TEST_00165,19.37
TEST_00166,113.1
TEST_00167,123.05
TEST_00168,76.31
TEST_00169,13.0
TEST_00170,19.37
TEST_00171,42.77
TEST_00172,29.25
TEST_00173,20.8
TEST_00174,64.74
TEST_00175,33.58
TEST_00176,27.17
TEST_00177,49.27
TEST_00178,74.75
TEST_00179,37.31
TEST_00180,5.0
TEST_00181,18.59
TEST_00182,60.76
TEST_00183,11.05
TEST_00184,20.79
TEST_00185,103.87
TEST_00186,42.25
TEST_00187,32.5
TEST_00188,120.9
TEST_00189,57.07
TEST_00190,61.36
TEST_00191,69.29
TEST_00192,54.47
TEST_00193,95.55
TEST_00194,117.0
TEST_00195,93.6
TEST_00196,29.77
TEST_00197,54.47
TEST_00198,148.2
TEST_00199,10.27
TEST_00200,67.34
TEST_00201,27.11
TEST_00202,38.14
TEST_00203,44.2
TEST_00204,45.37
TEST_00205,59.15
TEST_00206,55.25
TEST_00207,46.41
TEST_00208,20.41
TEST_00209,94.25
TEST_00210,44.85
TEST_00211,26.52
TEST_00212,30.81
TEST_00213,96.07
TEST_00214,85.67
TEST_00215,24.05
TEST_00216,83.2
TEST_00217,128.57
TEST_00218,19.37
TEST_00219,23.27
TEST_00220,29.77
TEST_00221,45.37
TEST_00222,38.35
TEST_00223,25.87
TEST_00224,70.2
TEST_00225,15.6
TEST_00226,40.56
TEST_00227,92.17
TEST_00228,46.67
TEST_00229,12.31
TEST_00230,33.67
TEST_00231,109.72
TEST_00232,127.4
TEST_00233,57.2
TEST_00234,116.87
TEST_00235,20.15
TEST_00236,18.07
TEST_00237,45.5
TEST_00238,70.2
TEST_00239,17.81
TEST_00240,8.78
TEST_00241,11.96
TEST_00242,49.27
TEST_00243,106.14666666666666
TEST_00244,32.5
TEST_00245,49.27
TEST_00246,110.37
TEST_00247,40.95
TEST_00248,16.38
TEST_00249,5.07
TEST_00250,76.57
TEST_00251,36.27
TEST_00252,16.9
TEST_00253,25.87
TEST_00254,49.27
TEST_00255,29.9
TEST_00256,99.84
TEST_00257,149.5
TEST_00258,67.6
TEST_00259,44.07
TEST_00260,36.4
TEST_00261,97.37
TEST_00262,43.55
TEST_00263,10.01
TEST_00264,71.5
TEST_00265,44.2
TEST_00266,15.34
TEST_00267,30.55
TEST_00268,51.01
TEST_00269,16.84
TEST_00270,49.27
TEST_00271,18.07
TEST_00272,25.09
TEST_00273,13.0
TEST_00274,116.87
TEST_00275,85.67
TEST_00276,25.35
TEST_00277,55.51
TEST_00278,85.67
TEST_00279,34.45
TEST_00280,64.87
TEST_00281,8.45
TEST_00282,6.5
TEST_00283,24.57
TEST_00284,29.25
TEST_00285,83.39
TEST_00286,107.9
TEST_00287,101.14
TEST_00288,130.0
TEST_00289,57.2
TEST_00290,96.07
TEST_00291,20.54
TEST_00292,16.77
TEST_00293,9.49
TEST_00294,50.57
TEST_00295,32.37
TEST_00296,42.77
TEST_00297,31.85
TEST_00298,12.87
TEST_00299,8.32
TEST_00300,29.25
TEST_00301,25.35
TEST_00302,34.97
TEST_00303,106.6
TEST_00304,47.97
TEST_00305,145.47
TEST_00306,36.27
TEST_00307,29.51
TEST_00308,25.87
TEST_00309,57.07
TEST_00310,26.0
TEST_00311,23.27
TEST_00312,23.27
TEST_00313,84.37
TEST_00314,44.98
TEST_00315,28.47
TEST_00316,48.75
TEST_00317,10.79
TEST_00318,47.45
TEST_00319,31.98
TEST_00320,9.1
TEST_00321,109.2
TEST_00322,21.67
TEST_00323,88.27
TEST_00324,45.49
TEST_00325,24.7
TEST_00326,63.57
TEST_00327,25.87
TEST_00328,23.27
TEST_00329,90.87
TEST_00330,58.37
TEST_00331,26.65
TEST_00332,103.87
TEST_00333,26.0
TEST_00334,30.29
TEST_00335,23.14
TEST_00336,89.57
TEST_00337,44.07
TEST_00338,28.47
TEST_00339,24.7
TEST_00340,70.07
TEST_00341,10.27
TEST_00342,152.01
TEST_00343,128.44
TEST_00344,34.97
TEST_00345,20.67
TEST_00346,16.77
TEST_00347,34.45
TEST_00348,15.47
TEST_00349,73.97
TEST_00350,112.97
TEST_00351,91.0
TEST_00352,97.37
TEST_00353,49.4
TEST_00354,29.64
TEST_00355,26.0
TEST_00356,22.23
TEST_00357,31.07
TEST_00358,16.25
TEST_00359,33.67
TEST_00360,11.05
TEST_00361,59.8
TEST_00362,13.0
TEST_00363,13.78
TEST_00364,48.75
TEST_00365,21.84
TEST_00366,71.37
TEST_00367,49.27
TEST_00368,11.57
TEST_00369,91.0
TEST_00370,11.7
TEST_00371,14.17
TEST_00372,10.27
TEST_00373,96.2
TEST_00374,64.87
TEST_00375,20.67
TEST_00376,67.99
TEST_00377,30.7
TEST_00378,34.97
TEST_00379,65.0
TEST_00380,32.37
TEST_00381,55.9
TEST_00382,18.85
TEST_00383,71.37
TEST_00384,34.97
TEST_00385,20.28
TEST_00386,116.87
TEST_00387,10.39
TEST_00388,115.7
TEST_00389,22.75
TEST_00390,17.55
TEST_00391,16.77
TEST_00392,28.47
TEST_00393,103.35
TEST_00394,90.87
TEST_00395,13.0
TEST_00396,33.67
TEST_00397,110.33
TEST_00398,25.87
TEST_00399,68.25
TEST_00400,115.7
TEST_00401,11.57
TEST_00402,47.45
TEST_00403,20.67
TEST_00404,28.47
TEST_00405,20.67
TEST_00406,116.35
TEST_00407,70.07
TEST_00408,113.1
TEST_00409,42.77
TEST_00410,38.87
TEST_00411,28.47
TEST_00412,5.85
TEST_00413,98.54
TEST_00414,4.55
TEST_00415,131.43
TEST_00416,31.85
TEST_00417,51.87
TEST_00418,41.47
TEST_00419,91.0
TEST_00420,114.27
TEST_00421,39.0
TEST_00422,33.67
TEST_00423,73.97
TEST_00424,8.71
TEST_00425,12.87
TEST_00426,64.87
TEST_00427,81.77
TEST_00428,16.51
TEST_00429,64.35
TEST_00430,52.0
TEST_00431,23.39
TEST_00432,133.77
TEST_00433,7.67
TEST_00434,111.67
TEST_00435,20.8
TEST_00436,42.77
TEST_00437,83.85
TEST_00438,53.17
TEST_00439,65.0
TEST_00440,15.47
TEST_00441,30.55
TEST_00442,142.87
TEST_00443,101.27
TEST_00444,21.97
TEST_00445,29.64
TEST_00446,131.3
TEST_00447,24.7
TEST_00448,59.8
TEST_00449,20.67
TEST_00450,104.0
TEST_00451,20.67
TEST_00452,33.67
TEST_00453,54.47
TEST_00454,98.54
TEST_00455,33.67
TEST_00456,31.14
TEST_00457,98.15
TEST_00458,21.97
TEST_00459,23.27
TEST_00460,36.27
TEST_00461,11.7
TEST_00462,8.97
TEST_00463,36.27
TEST_00464,116.87
TEST_00465,28.34
TEST_00466,20.67
TEST_00467,42.64
TEST_00468,36.4
TEST_00469,9.75
TEST_00470,7.8
TEST_00471,14.95
TEST_00472,45.37
TEST_00473,92.17
TEST_00474,24.57
TEST_00475,107.9
TEST_00476,44.07
TEST_00477,58.37
TEST_00478,82.99
TEST_00479,14.04
TEST_00480,17.55
TEST_00481,41.47
TEST_00482,13.52
TEST_00483,111.77
TEST_00484,53.95
TEST_00485,48.75
TEST_00486,47.45
TEST_00487,27.95
TEST_00488,72.985
TEST_00489,146.77
TEST_00490,75.27
TEST_00491,19.37
TEST_00492,59.8
TEST_00493,10.27
TEST_00494,47.45
TEST_00495,7.74
TEST_00496,29.25
TEST_00497,11.57
TEST_00498,80.47
TEST_00499,20.67
TEST_00500,64.35
TEST_00501,86.97
TEST_00502,109.2
TEST_00503,114.27
TEST_00504,27.17
TEST_00505,25.35
TEST_00506,7.8
TEST_00507,31.07
TEST_00508,33.54
TEST_00509,24.57
TEST_00510,76.57
TEST_00511,23.01
TEST_00512,29.64
TEST_00513,12.09
TEST_00514,23.4
TEST_00515,34.58
TEST_00516,37.7
TEST_00517,29.9
TEST_00518,71.37
TEST_00519,27.3
TEST_00520,115.57
TEST_00521,101.4
TEST_00522,100.1
TEST_00523,60.97
TEST_00524,36.27
TEST_00525,28.47
TEST_00526,77.87
TEST_00527,81.64
TEST_00528,25.48
TEST_00529,16.77
TEST_00530,24.05
TEST_00531,36.34
TEST_00532,77.87
TEST_00533,42.77
TEST_00534,154.31
TEST_00535,77.87
TEST_00536,146.51000000000002
TEST_00537,39.0
TEST_00538,47.97
TEST_00539,42.64
TEST_00540,70.85
TEST_00541,19.37
TEST_00542,48.1
TEST_00543,72.15
TEST_00544,76.96
TEST_00545,120.64
TEST_00546,1.95
TEST_00547,106.47
TEST_00548,12.87
TEST_00549,14.17
TEST_00550,68.76
TEST_00551,45.37
TEST_00552,19.37
TEST_00553,115.57
TEST_00554,67.6
TEST_00555,72.8
TEST_00556,90.87
TEST_00557,17.94
TEST_00558,41.6
TEST_00559,146.64
TEST_00560,75.4
TEST_00561,71.24
TEST_00562,103.87
TEST_00563,16.77
TEST_00564,24.7
TEST_00565,68.12
TEST_00566,27.17
TEST_00567,60.45
TEST_00568,42.64
TEST_00569,34.97
TEST_00570,16.51
TEST_00571,97.37
TEST_00572,16.77
TEST_00573,38.87
TEST_00574,31.07
TEST_00575,64.87
TEST_00576,96.2
TEST_00577,96.2
TEST_00578,16.77
TEST_00579,76.57
TEST_00580,11.7
TEST_00581,28.47
TEST_00582,58.5
TEST_00583,65.0
TEST_00584,100.1
TEST_00585,20.15
TEST_00586,13.0
TEST_00587,44.46
TEST_00588,89.7
TEST_00589,38.74
TEST_00590,27.17
TEST_00591,20.15
TEST_00592,19.5
TEST_00593,72.67
TEST_00594,49.27
TEST_00595,55.77
TEST_00596,64.87
TEST_00597,109.07
TEST_00598,155.87
TEST_00599,46.67
TEST_00600,36.79
TEST_00601,11.57
TEST_00602,106.34
TEST_00603,25.87
TEST_00604,29.77
TEST_00605,6.1
TEST_00606,25.74
TEST_00607,53.17
TEST_00608,106.47
TEST_00609,31.85
TEST_00610,28.47
TEST_00611,21.97
TEST_00612,26.0
TEST_00613,29.77
TEST_00614,53.3
TEST_00615,27.17
TEST_00616,142.87
TEST_00617,23.27
TEST_00618,63.44
TEST_00619,57.85
TEST_00620,16.25
TEST_00621,60.84
TEST_00622,42.9
TEST_00623,46.67
TEST_00624,31.72
TEST_00625,80.47
TEST_00626,36.27
TEST_00627,24.57
TEST_00628,72.6275
TEST_00629,146.64
TEST_00630,23.14
TEST_00631,77.87
TEST_00632,28.6
TEST_00633,44.07
TEST_00634,81.77
TEST_00635,23.27
TEST_00636,11.57
TEST_00637,123.5
TEST_00638,28.47
TEST_00639,12.87
TEST_00640,21.97
TEST_00641,63.7
TEST_00642,14.17
TEST_00643,19.37
TEST_00644,55.77
TEST_00645,63.57
TEST_00646,58.37
TEST_00647,83.07
TEST_00648,152.1
TEST_00649,45.5
TEST_00650,24.05
TEST_00651,25.09
TEST_00652,35.1
TEST_00653,51.87
TEST_00654,66.3
TEST_00655,13.52
TEST_00656,87.75
TEST_00657,64.87
TEST_00658,24.57
TEST_00659,125.18
TEST_00660,38.35
TEST_00661,37.44
TEST_00662,40.3
TEST_00663,10.01
TEST_00664,24.57
TEST_00665,46.67
TEST_00666,38.87
TEST_00667,20.8
TEST_00668,39.0
TEST_00669,24.57
TEST_00670,62.14
TEST_00671,46.67
TEST_00672,70.85
TEST_00673,18.33
TEST_00674,24.05
TEST_00675,21.97
TEST_00676,37.7
TEST_00677,12.87
TEST_00678,21.97
TEST_00679,22.04
TEST_00680,21.84
TEST_00681,114.4
TEST_00682,57.07
TEST_00683,52.0
TEST_00684,89.57
TEST_00685,46.8
TEST_00686,38.14
TEST_00687,57.85
TEST_00688,3.9
TEST_00689,19.37
TEST_00690,72.67
TEST_00691,44.85
TEST_00692,55.9
TEST_00693,20.79
TEST_00694,72.75
TEST_00695,39.52
TEST_00696,64.87
TEST_00697,24.7
TEST_00698,22.75
TEST_00699,24.31
TEST_00700,47.97
TEST_00701,45.37
TEST_00702,85.8
TEST_00703,58.37
TEST_00704,7.54
TEST_00705,22.1
TEST_00706,30.55
TEST_00707,136.5
TEST_00708,57.85
TEST_00709,25.61
TEST_00710,115.7
TEST_00711,90.87
TEST_00712,16.77
TEST_00713,40.17
TEST_00714,28.47
TEST_00715,25.87
TEST_00716,51.87
TEST_00717,55.25
TEST_00718,8.97
TEST_00719,28.47
TEST_00720,25.87
TEST_00721,97.37
TEST_00722,19.37
TEST_00723,61.75
TEST_00724,85.61
TEST_00725,21.45
TEST_00726,102.05
TEST_00727,40.3
TEST_00728,86.97
TEST_00729,52.0
TEST_00730,140.27
TEST_00731,83.07
TEST_00732,31.07
TEST_00733,29.25
TEST_00734,94.77
TEST_00735,55.9
TEST_00736,30.81
TEST_00737,19.5
TEST_00738,112.45
TEST_00739,105.06
TEST_00740,104.13
TEST_00741,116.87
TEST_00742,19.43
TEST_00743,65.0
TEST_00744,21.32
TEST_00745,40.17
TEST_00746,16.9
TEST_00747,11.7
TEST_00748,36.27
TEST_00749,46.67
TEST_00750,28.08
TEST_00751,25.87
TEST_00752,45.37
TEST_00753,108.55
TEST_00754,29.64
TEST_00755,21.97
TEST_00756,21.97
TEST_00757,145.2
TEST_00758,79.95
TEST_00759,35.75
TEST_00760,31.2
TEST_00761,124.67
TEST_00762,5.85
TEST_00763,36.4
TEST_00764,38.87
TEST_00765,108.55
TEST_00766,37.44
TEST_00767,31.07
TEST_00768,13.78
TEST_00769,37.57
TEST_00770,119.6
TEST_00771,33.67
TEST_00772,27.17
TEST_00773,8.97
TEST_00774,25.87
TEST_00775,28.47
TEST_00776,24.57
TEST_00777,41.47
TEST_00778,25.87
TEST_00779,8.32
TEST_00780,72.75
TEST_00781,19.24
TEST_00782,7.8
TEST_00783,73.97
TEST_00784,38.87
TEST_00785,22.1
TEST_00786,22.75
TEST_00787,29.77
TEST_00788,10.4
TEST_00789,14.95
TEST_00790,81.77
TEST_00791,64.87
TEST_00792,67.47
TEST_00793,92.95
TEST_00794,40.95
TEST_00795,49.01
TEST_00796,78.65
TEST_00797,52.0
TEST_00798,21.39
TEST_00799,29.77
TEST_00800,50.44
TEST_00801,97.24
TEST_00802,15.6
TEST_00803,4.88
TEST_00804,51.35
TEST_00805,119.47
TEST_00806,114.27
TEST_00807,116.87
TEST_00808,40.17
TEST_00809,28.47
TEST_00810,133.77
TEST_00811,50.57
TEST_00812,76.57
TEST_00813,127.27
TEST_00814,5.07
TEST_00815,36.27
TEST_00816,103.87
TEST_00817,33.8
TEST_00818,44.85
TEST_00819,97.5
TEST_00820,63.69
TEST_00821,32.37
TEST_00822,77.87
TEST_00823,8.84
TEST_00824,26.52
TEST_00825,119.73
TEST_00826,21.71
TEST_00827,86.45
TEST_00828,90.98
TEST_00829,49.27
TEST_00830,32.37
TEST_00831,13.91
TEST_00832,64.87
TEST_00833,102.05
TEST_00834,135.07
TEST_00835,93.47
TEST_00836,63.44
TEST_00837,23.4
TEST_00838,12.68
TEST_00839,73.97
TEST_00840,25.35
TEST_00841,19.37
TEST_00842,116.87
TEST_00843,12.35
TEST_00844,50.57
TEST_00845,114.4
TEST_00846,68.64
TEST_00847,47.97
TEST_00848,46.41
TEST_00849,23.27
TEST_00850,40.95
TEST_00851,46.8
TEST_00852,57.07
TEST_00853,12.87
TEST_00854,28.47
TEST_00855,80.6
TEST_00856,30.29
TEST_00857,59.67
TEST_00858,41.47
TEST_00859,91.0
TEST_00860,52.88
TEST_00861,29.89
TEST_00862,106.47
TEST_00863,57.07
TEST_00864,34.45
TEST_00865,24.57
TEST_00866,23.34
TEST_00867,13.0
TEST_00868,19.37
TEST_00869,80.6
TEST_00870,55.77
TEST_00871,56.94
TEST_00872,22.75
TEST_00873,98.67
TEST_00874,63.57
TEST_00875,54.47
TEST_00876,24.44
TEST_00877,17.81
TEST_00878,19.37
TEST_00879,9.36
TEST_00880,18.07
TEST_00881,42.9
TEST_00882,6.37
TEST_00883,49.27
TEST_00884,45.37
TEST_00885,46.67
TEST_00886,40.3
TEST_00887,15.08
TEST_00888,53.82
TEST_00889,23.27
TEST_00890,119.47
TEST_00891,105.17
TEST_00892,35.75
TEST_00893,46.41
TEST_00894,24.05
TEST_00895,150.67
TEST_00896,66.68
TEST_00897,46.67
TEST_00898,16.64
TEST_00899,84.49
TEST_00900,36.4
TEST_00901,34.84
TEST_00902,43.55
TEST_00903,23.27
TEST_00904,31.85
TEST_00905,31.07
TEST_00906,104.13
TEST_00907,23.4
TEST_00908,110.5
TEST_00909,11.57
TEST_00910,11.05
TEST_00911,27.17
TEST_00912,45.37
TEST_00913,103.87
TEST_00914,68.12
TEST_00915,14.23
TEST_00916,19.37
TEST_00917,44.2
TEST_00918,10.27
TEST_00919,101.14
TEST_00920,74.75
TEST_00921,143.91
TEST_00922,38.35
TEST_00923,12.87
TEST_00924,93.47
TEST_00925,73.97
TEST_00926,23.92
TEST_00927,41.6
TEST_00928,17.55
TEST_00929,63.7
TEST_00930,88.14
TEST_00931,12.61
TEST_00932,24.54
TEST_00933,25.87
TEST_00934,56.55
TEST_00935,120.9
TEST_00936,106.08
TEST_00937,89.57
TEST_00938,25.87
TEST_00939,81.77
TEST_00940,24.57
TEST_00941,62.01
TEST_00942,60.97
TEST_00943,21.84
TEST_00944,20.67
TEST_00945,16.64
TEST_00946,36.27
TEST_00947,64.87
TEST_00948,73.97
TEST_00949,11.57
TEST_00950,58.37
TEST_00951,103.87
TEST_00952,46.8
TEST_00953,63.57
TEST_00954,96.07
TEST_00955,11.57
TEST_00956,88.4
TEST_00957,15.21
TEST_00958,24.7
TEST_00959,85.54
TEST_00960,100.1
TEST_00961,107.83500000000001
TEST_00962,141.7
TEST_00963,90.87
TEST_00964,100.165
TEST_00965,23.01
TEST_00966,79.17
TEST_00967,93.6
TEST_00968,50.57
TEST_00969,52.0
TEST_00970,28.47
TEST_00971,156.0
TEST_00972,8.45
TEST_00973,27.3
TEST_00974,11.7
TEST_00975,55.9
TEST_00976,132.47
TEST_00977,77.87
TEST_00978,68.25
TEST_00979,90.35
TEST_00980,12.61
TEST_00981,83.96142857142856
TEST_00982,18.59
TEST_00983,85.67
TEST_00984,31.07
TEST_00985,11.05
TEST_00986,96.85
TEST_00987,29.77
TEST_00988,57.07
TEST_00989,115.57
TEST_00990,102.7
TEST_00991,110.49
TEST_00992,16.77
TEST_00993,29.25
TEST_00994,57.85
TEST_00995,63.57
TEST_00996,25.87
TEST_00997,122.07
TEST_00998,16.25
TEST_00999,91.80099999999999
TEST_01000,154.7
TEST_01001,112.97
TEST_01002,25.87
TEST_01003,28.08
TEST_01004,17.55
TEST_01005,68.77
TEST_01006,45.5
TEST_01007,57.2
TEST_01008,47.97
TEST_01009,25.87
TEST_01010,48.1
TEST_01011,31.2
TEST_01012,4.29
TEST_01013,15.08
TEST_01014,36.27
TEST_01015,44.07
TEST_01016,120.9
TEST_01017,34.97
TEST_01018,35.62
TEST_01019,33.67
TEST_01020,25.99
TEST_01021,29.77
TEST_01022,12.99
TEST_01023,80.6
TEST_01024,63.05
TEST_01025,41.6
TEST_01026,127.14
TEST_01027,49.66
TEST_01028,119.47
TEST_01029,24.05
TEST_01030,18.07
TEST_01031,27.82
TEST_01032,41.47
TEST_01033,83.91499999999999
TEST_01034,112.97
TEST_01035,36.27
TEST_01036,85.67
TEST_01037,32.5
TEST_01038,30.29
TEST_01039,20.67
TEST_01040,34.97
TEST_01041,50.57
TEST_01042,67.47
TEST_01043,19.37
TEST_01044,17.94
TEST_01045,33.67
TEST_01046,68.25
TEST_01047,63.7
TEST_01048,47.97
TEST_01049,51.87
TEST_01050,19.37
TEST_01051,63.57
TEST_01052,50.57
TEST_01053,15.47
TEST_01054,127.4
TEST_01055,77.87
TEST_01056,104.0
TEST_01057,54.6
TEST_01058,65.65
TEST_01059,16.77
TEST_01060,101.4
TEST_01061,32.37
TEST_01062,32.5
TEST_01063,10.01
TEST_01064,85.8
TEST_01065,31.2
TEST_01066,50.96
TEST_01067,98.67
TEST_01068,23.4
TEST_01069,37.57
TEST_01070,14.04
TEST_01071,50.7
TEST_01072,14.04
TEST_01073,51.87
TEST_01074,21.97
TEST_01075,13.0
TEST_01076,45.37
TEST_01077,38.87
TEST_01078,90.87
TEST_01079,4.55
TEST_01080,13.0
TEST_01081,25.87
TEST_01082,85.67
TEST_01083,25.87
TEST_01084,44.2
TEST_01085,51.97
TEST_01086,149.5
TEST_01087,14.17
TEST_01088,57.33
TEST_01089,10.27
TEST_01090,5.07
TEST_01091,14.82
TEST_01092,3.51
TEST_01093,7.4
TEST_01094,9.75
TEST_01095,71.37
TEST_01096,28.47
TEST_01097,14.95
TEST_01098,15.47
TEST_01099,30.55
TEST_01100,103.87
TEST_01101,83.2
TEST_01102,58.37
TEST_01103,33.67
TEST_01104,25.87
TEST_01105,106.47
TEST_01106,109.07
TEST_01107,86.97
TEST_01108,115.57
TEST_01109,110.37
TEST_01110,66.95
TEST_01111,33.41
TEST_01112,16.64
TEST_01113,47.97
TEST_01114,21.97
TEST_01115,101.27
TEST_01116,25.87
TEST_01117,34.71
TEST_01118,30.55
TEST_01119,76.55
TEST_01120,90.99
TEST_01121,80.47
TEST_01122,18.07
TEST_01123,47.97
TEST_01124,45.37
TEST_01125,60.45
TEST_01126,37.05
TEST_01127,101.27
TEST_01128,40.17
TEST_01129,38.87
TEST_01130,28.47
TEST_01131,33.67
TEST_01132,83.2
TEST_01133,34.45
TEST_01134,19.37
TEST_01135,116.87
TEST_01136,10.27
TEST_01137,36.4
TEST_01138,107.77
TEST_01139,25.61
TEST_01140,28.47
TEST_01141,55.77
TEST_01142,34.97
TEST_01143,22.75
TEST_01144,7.61
TEST_01145,115.05
TEST_01146,110.37
TEST_01147,4.68
TEST_01148,27.3
TEST_01149,146.77
TEST_01150,45.5
TEST_01151,107.77
TEST_01152,40.17
TEST_01153,11.7
TEST_01154,70.2
TEST_01155,26.0
TEST_01156,9.75
TEST_01157,28.47
TEST_01158,46.8
TEST_01159,93.31
TEST_01160,129.74
TEST_01161,85.67
TEST_01162,24.57
TEST_01163,79.17
TEST_01164,29.77
TEST_01165,38.87
TEST_01166,115.25
TEST_01167,19.43
TEST_01168,102.57
TEST_01169,118.17
TEST_01170,24.05
TEST_01171,40.3
TEST_01172,24.57
TEST_01173,20.8
TEST_01174,15.47
TEST_01175,94.77
TEST_01176,133.77
TEST_01177,6.37
TEST_01178,81.25
TEST_01179,37.7
TEST_01180,99.84
TEST_01181,81.9
TEST_01182,29.25
TEST_01183,68.25
TEST_01184,98.67
TEST_01185,119.6
TEST_01186,150.31
TEST_01187,32.37
TEST_01188,64.87
TEST_01189,39.91
TEST_01190,20.48
TEST_01191,124.67
TEST_01192,34.45
TEST_01193,19.11
TEST_01194,66.17
TEST_01195,24.57
TEST_01196,24.05
TEST_01197,31.07
TEST_01198,52.0
TEST_01199,77.35
TEST_01200,82.99
TEST_01201,28.47
TEST_01202,49.39
TEST_01203,70.07
TEST_01204,12.87
TEST_01205,51.17
TEST_01206,26.91
TEST_01207,23.66
TEST_01208,70.85
TEST_01209,29.25
TEST_01210,24.05
TEST_01211,68.25
TEST_01212,17.42
TEST_01213,23.27
TEST_01214,94.77
TEST_01215,85.67
TEST_01216,8.45
TEST_01217,54.2
TEST_01218,35.75
TEST_01219,30.55
TEST_01220,106.47
TEST_01221,102.7
TEST_01222,64.87
TEST_01223,115.7
TEST_01224,42.77
TEST_01225,4.16
TEST_01226,29.77
TEST_01227,28.6
TEST_01228,51.87
TEST_01229,15.47
TEST_01230,92.3
TEST_01231,90.74
TEST_01232,16.77
TEST_01233,116.87
TEST_01234,45.5
TEST_01235,40.17
TEST_01236,77.87
TEST_01237,64.87
TEST_01238,122.46
TEST_01239,6.3
TEST_01240,42.77
TEST_01241,103.87
TEST_01242,70.07
TEST_01243,88.27
TEST_01244,14.17
TEST_01245,58.5
TEST_01246,71.37
TEST_01247,73.97
TEST_01248,68.77
TEST_01249,93.47
TEST_01250,25.35
TEST_01251,24.57
TEST_01252,38.35
TEST_01253,13.0
TEST_01254,28.47
TEST_01255,5.2
TEST_01256,29.77
TEST_01257,20.8
TEST_01258,121.55
TEST_01259,61.62
TEST_01260,32.5
TEST_01261,76.05
TEST_01262,90.87
TEST_01263,86.97
TEST_01264,16.77
TEST_01265,23.4
TEST_01266,63.57
TEST_01267,104.0
TEST_01268,54.47
