iter	RMSE
328	9.646756915
329	9.64090589
330	9.635175978
331	9.632382934
332	9.628516795
333	9.627144977
334	9.62275052
335	9.621545519
336	9.616781434
337	9.612620788
338	9.609682983
339	9.608388251
340	9.600290615
341	9.59702358
342	9.592068169
343	9.590334548
344	9.587601051
345	9.585634187
346	9.581523809
347	9.577268062
348	9.573074786
349	9.569785849
350	9.56668749
351	9.565009233
352	9.561971905
353	9.560170868
354	9.556097626
355	9.550863689
356	9.544967586
357	9.544210577
358	9.538635955
359	9.535105506
360	9.533168671
361	9.529367911
362	9.5237295
363	9.521059127
364	9.51768394
365	9.51397982
366	9.510463436
367	9.506953147
368	9.504047473
369	9.502762818
370	9.499425248
371	9.497215143
372	9.493490865
373	9.490450571
374	9.485930029
375	9.482810465
376	9.47900377
377	9.474233309
378	9.470954299
379	9.466220359
380	9.463477245
381	9.45972375
382	9.457452791
383	9.456235365
384	9.449960283
385	9.446674374
386	9.444079866
387	9.44137301
388	9.437918685
389	9.432886059
390	9.430303166
391	9.427647593
392	9.424337023
393	9.420950926
394	9.418474082
395	9.417494647
396	9.415685082
397	9.409492711
398	9.406906393
399	9.405586761
400	9.402988132
401	9.400694731
402	9.399396229
403	9.397878822
404	9.396844132
405	9.393941136
406	9.391036407
407	9.389913069
408	9.386867503
409	9.384518071
410	9.383149908
411	9.377952753
412	9.374413639
413	9.3693455
414	9.364933266
415	9.362371096
416	9.360101491
417	9.357523183
418	9.355561852
419	9.353064384
420	9.347764183
421	9.345754672
422	9.344812787
423	9.341613055
424	9.3379706
425	9.334341241
426	9.333567507
427	9.331875393
428	9.328716024
429	9.325328856
430	9.323976864
431	9.321221264
432	9.319321716
433	9.318874817
434	9.317987876
435	9.314985872
436	9.313726453
437	9.310085555
438	9.308378635
439	9.305379528
440	9.300901023
441	9.299444729
442	9.295955549
443	9.293290023
444	9.291873051
445	9.286455094
446	9.284773608
447	9.283964225
448	9.281414329
449	9.276729425
450	9.274167231
451	9.271142444
452	9.269136289
453	9.265653899
454	9.262777564
455	9.258205063
456	9.253799849
457	9.250414434
458	9.245566413
459	9.242567223
460	9.239454122
461	9.236759935
462	9.234115354
463	9.23037718
464	9.229503945
465	9.223952606
466	9.221941649
467	9.21940526
468	9.217869107
469	9.214870205
470	9.213686449
471	9.21158491
472	9.210471144
473	9.20782362
474	9.205325228
475	9.203520035
476	9.201613228
477	9.199722871
478	9.197773402
479	9.194746768
480	9.193085765
481	9.190165323
482	9.188383117
483	9.185972099
484	9.183176779
485	9.180415617
486	9.177656294
487	9.174249015
488	9.171832769
489	9.169390435
490	9.166876776
491	9.164733362
492	9.16118282
493	9.159743051
494	9.15848551
495	9.157009318
496	9.155079014
497	9.154153959
498	9.151898361
499	9.147476742
500	9.143919849
501	9.140188952
502	9.137908901
503	9.134081675
504	9.13083235
505	9.129115998
506	9.127454385
507	9.124748848
508	9.122857678
509	9.122071769
510	9.119343902
511	9.116662795
512	9.115299913
513	9.113462565
514	9.11148057
515	9.110945955
516	9.10868676
517	9.106162981
518	9.10314167
519	9.10065864
520	9.097356712
521	9.094352287
522	9.093125782
523	9.091339934
524	9.089280437
525	9.088526425
526	9.085277531
527	9.08396079
528	9.081885419
529	9.079796976
530	9.076329112
531	9.074108202
532	9.072097931
533	9.071172239
534	9.070056339
535	9.068313958
536	9.065466078
537	9.064152097
538	9.062090082
539	9.060742053
540	9.05922889
541	9.057414883
542	9.055501257
543	9.052854587
544	9.051813359
545	9.050602365
546	9.049673084
547	9.046188347
548	9.044604276
549	9.043388619
550	9.040813896
551	9.038383529
552	9.037217967
553	9.036550567
554	9.035487957
555	9.033610354
556	9.031888502
557	9.030558952
558	9.027916975
559	9.026681809
560	9.025210675
561	9.022933171
562	9.021159685
563	9.019769977
564	9.019063675
565	9.016712043
566	9.014683649
567	9.013399158
568	9.01169708
569	9.009878808
570	9.008388156
571	9.006297313
572	9.004957773
573	9.002738594
574	8.99979979
575	8.997348393
576	8.996821735
577	8.994839271
578	8.993289473
579	8.990891079
580	8.988670579
581	8.98711539
582	8.984998842
583	8.982074392
584	8.979222141
585	8.978385048
586	8.974854565
587	8.973033579
588	8.971075561
589	8.969573031
590	8.968422116
591	8.967425261
592	8.966769857
593	8.965897534
594	8.96310568
595	8.961976556
596	8.960282543
597	8.958273638
598	8.957036818
599	8.955625711
600	8.953807222
601	8.952274015
602	8.951605818
603	8.948617119
604	8.94772754
605	8.947161399
606	8.94615853
607	8.945158416
608	8.943928625
609	8.942053536
610	8.939716167
611	8.938232225
612	8.936010259
613	8.93394454
614	8.932750974
615	8.930372747
616	8.928815036
617	8.927426023
618	8.926157479
619	8.924336593
620	8.922754934
621	8.92065303
622	8.917504715
623	8.916076248
624	8.914114055
625	8.912755651
626	8.910946437
627	8.910162244
628	8.907876442
629	8.906524217
630	8.905396045
631	8.904205295
632	8.903103561
633	8.902037966
634	8.900729035
635	8.899088005
636	8.898650063
637	8.897380946
638	8.895657079
639	8.893705527
640	8.891954435
641	8.891732307
642	8.889880458
643	8.887733133
644	8.886376203
645	8.884615443
646	8.88170896
647	8.87939279
648	8.877771097
649	8.876274876
650	8.874259183
651	8.872995674
652	8.872177084
653	8.869953342
654	8.868695475
655	8.867844785
656	8.866295558
657	8.864785753
658	8.862521014
659	8.860153562
660	8.858883108
661	8.857197621
662	8.856128808
663	8.854116732
664	8.852989599
665	8.851586934
666	8.850780902
667	8.849551614
668	8.847662988
669	8.846751277
670	8.844973154
671	8.844039197
672	8.842389007
673	8.841371892
674	8.840250259
675	8.838184073
676	8.836447183
677	8.834357513
678	8.831425226
679	8.829891547
680	8.828802822
681	8.827759568
682	8.826558034
683	8.825118224
684	8.823464509
685	8.822886463
686	8.821697342
687	8.820716223
688	8.820108984
689	8.818975529
690	8.818025374
691	8.816361312
692	8.814691287
693	8.813808028
694	8.812932957
695	8.812224642
696	8.810812466
697	8.810102748
698	8.808757875
699	8.807017312
700	8.80539013
701	8.80469235
702	8.803216127
703	8.801680204
704	8.800051135
705	8.798476532
706	8.797451934
707	8.796236861
708	8.794154782
709	8.793150339
710	8.790669562
711	8.789492527
712	8.78831448
713	8.78750036
714	8.786628421
715	8.785404633
716	8.784130042
717	8.7833727
718	8.782427419
719	8.780964773
720	8.779702236
721	8.778352767
722	8.776858082
723	8.775838769
724	8.775023128
725	8.77303226
726	8.771064929
727	8.770122944
728	8.76803697
729	8.767237579
730	8.766220288
731	8.765098127
732	8.763646208
733	8.762425781
734	8.761608716
735	8.760262373
736	8.759034337
737	8.758179307
738	8.756616174
739	8.755346013
740	8.753823514
741	8.752802357
742	8.7501777
743	8.748517665
744	8.747279623
745	8.746371734
746	8.745101708
747	8.743478879
748	8.74231006
749	8.740758393
750	8.739854081
751	8.738680958
752	8.736456804
753	8.734518496
754	8.731930909
755	8.73087886
756	8.729044522
757	8.728018791
758	8.726895526
759	8.726189598
760	8.724479428
761	8.723466101
762	8.721693938
763	8.720393837
764	8.719783039
765	8.71794082
766	8.716634157
767	8.715679495
768	8.714627027
769	8.713682593
770	8.712093793
771	8.711285752
772	8.71034595
773	8.709347724
774	8.707884958
775	8.706825747
776	8.7055676
777	8.704634318
778	8.70373043
779	8.702736683
780	8.701146797
781	8.700616165
782	8.699376517
783	8.697971033
784	8.69693531
785	8.695113325
786	8.694212267
787	8.692832513
788	8.691151905
789	8.689675037
790	8.689147323
791	8.687392301
792	8.686534571
793	8.685199926
794	8.684003372
795	8.68276894
796	8.681985079
797	8.681389671
798	8.680265665
799	8.679183918
800	8.677672094
801	8.676628602
802	8.675691802
803	8.675266738
804	8.674479429
805	8.673270981
806	8.671514334
807	8.670167971
808	8.668970576
809	8.668389676
810	8.667909964
811	8.667373197
812	8.666273503
813	8.665299443
814	8.664617878
815	8.663715303
816	8.662857559
817	8.661476243
818	8.66082457
819	8.6598356
820	8.659080626
821	8.658334168
822	8.656921927
823	8.656022859
824	8.655292016
825	8.654797882
826	8.653581952
827	8.652637616
828	8.65174283
829	8.651026047
830	8.649087765
831	8.64765975
832	8.646885709
833	8.646229718
834	8.644997802
835	8.643711013
836	8.642719482
837	8.64060035
838	8.639131812
839	8.637688961
840	8.636502996
841	8.635874435
842	8.634794477
843	8.633286934
844	8.631959809
845	8.630635847
846	8.628698091
847	8.628097353
848	8.626816288
849	8.62569531
850	8.624533961
851	8.623850118
852	8.622519789
853	8.622030663
854	8.621138053
855	8.61996018
856	8.618719182
857	8.617664765
858	8.616757912
859	8.616100641
860	8.61476219
861	8.613434521
862	8.61301856
863	8.611698493
864	8.609968737
865	8.607908425
866	8.606916824
867	8.606262242
868	8.604683337
869	8.603373136
870	8.601759044
871	8.599771131
872	8.598120188
873	8.597202926
874	8.595611587
875	8.594525077
876	8.593007311
877	8.591621541
878	8.591095554
879	8.590385101
880	8.589594611
881	8.588474719
882	8.587131477
883	8.586399345
884	8.584632346
885	8.583714382
886	8.583129166
887	8.582486553
888	8.582153416
889	8.58139803
890	8.58096082
891	8.57990089
892	8.578899152
893	8.577891898
894	8.577056922
895	8.575614267
896	8.574164261
897	8.573589179
898	8.571662834
899	8.569783806
900	8.568480499
901	8.567622959
902	8.566455525
903	8.565455616
904	8.5641719
905	8.563398634
906	8.563039326
907	8.561589885
908	8.560855434
909	8.559983585
910	8.558271983
911	8.556953498
912	8.555867105
913	8.555186274
914	8.553213997
915	8.552397306
916	8.551047248
917	8.549474203
918	8.547640028
919	8.546227063
920	8.544310228
921	8.543665664
922	8.542498124
923	8.541290973
924	8.540169889
925	8.539592323
926	8.538552783
927	8.536988538
928	8.536254274
929	8.535408732
930	8.534253042
931	8.533552701
932	8.532686418
933	8.531874358
934	8.530596767
935	8.52948855
936	8.528680326
937	8.527881199
938	8.527078797
939	8.526511168
940	8.525836859
941	8.523308211
942	8.522602389
943	8.521507218
944	8.519956711
945	8.51893744
946	8.518130194
947	8.517035379
948	8.516466507
949	8.515800401
950	8.515171855
951	8.514511215
952	8.513915722
953	8.513464584
954	8.51207364
955	8.510940132
956	8.5102172
957	8.509183597
958	8.507870508
959	8.507592304
960	8.506467544
961	8.505575436
962	8.504153114
963	8.503237743
964	8.502332653
965	8.501156038
966	8.500539802
967	8.499958805
968	8.499030232
969	8.49852632
970	8.497840767
971	8.497029974
972	8.496580107
973	8.49496883
974	8.494255008
975	8.493622027
976	8.492408682
977	8.490992676
978	8.489953169
979	8.488822648
980	8.487782384
981	8.486929762
982	8.486278367
983	8.485394258
984	8.483379137
985	8.48253999
986	8.481646155
987	8.480248888
988	8.479705406
989	8.478462412
990	8.477357386
991	8.476593397
992	8.475957813
993	8.47479452
994	8.472672087
995	8.471906072
996	8.470493392
997	8.46929213
998	8.46842614
999	8.467352335
