,Price
389,120.9
390,44.85
391,77.87
392,31.72
393,33.67
394,19.11
395,19.37
396,19.5
397,88.27
398,18.85
399,6.43
400,46.67
401,9.75
402,68.77
403,36.4
404,32.37
405,28.47
406,7.15
407,24.05
408,61.62
409,24.57
410,89.44
411,38.94
412,32.5
413,99.45
414,50.69
415,81.9
416,40.95
417,74.1
418,90.48
419,25.87
420,17.55
421,29.77
422,44.2
423,28.47
424,21.97
425,25.87
427,45.37
428,28.6
429,21.84
430,89.7
431,64.87
432,15.86
433,38.87
434,44.07
435,31.07
436,32.37
437,13.0
438,37.57
439,145.6
440,64.87
441,25.35
442,22.49
443,27.17
444,114.27
445,51.87
446,141.18
447,42.12
448,88.27
449,48.75
450,8.06
451,44.59
452,27.95
453,50.57
454,95.55
455,20.73
457,25.87
458,55.25
460,52.0
461,107.77
462,6.37
464,138.97
465,10.27
466,12.87
467,17.16
468,96.85
469,14.95
470,33.02
471,116.87
472,18.07
473,36.4
474,75.27
475,24.57
476,27.17
477,13.65
478,13.65
479,52.0
480,93.6
481,10.27
482,29.77
483,7.15
484,22.88
485,67.6
486,30.55
487,74.75
488,49.27
489,19.37
490,72.67
491,49.39
492,20.67
493,9.1
494,7.54
495,7.8
496,20.02
497,14.17
499,80.47
500,49.4
501,38.87
502,145.6
503,103.87
504,103.87
505,18.07
506,90.87
507,73.84
508,55.77
509,5.13
510,19.37
511,16.77
512,102.57
513,80.6
514,20.41
515,14.29
516,32.5
517,93.47
518,45.37
519,72.67
520,77.87
521,54.86
522,111.15
523,16.77
524,28.47
525,23.27
526,25.87
527,10.92
528,44.07
529,83.07
530,14.17
531,49.27
532,30.55
533,16.77
534,40.17
535,16.64
536,52.0
537,23.4
538,67.47
539,70.07
540,97.11
541,71.37
542,46.54
543,107.25
544,127.27
545,26.0
546,34.97
547,23.01
548,29.77
549,68.77
550,81.77
551,55.9
552,90.87
553,80.6
554,91.0
555,111.8
556,36.27
557,88.27
558,8.97
559,124.79
560,96.07
561,103.87
562,50.7
563,15.47
564,11.18
565,59.8
566,16.77
567,68.51
568,58.5
569,99.94
570,49.27
571,28.21
572,24.18
573,58.37
574,27.17
575,45.11
576,78.65
577,11.57
578,61.1
579,21.97
580,62.27
581,25.74
582,51.87
583,18.46
584,25.48
585,71.5
586,36.27
587,25.87
588,70.2
589,48.75
591,33.15
592,28.54
593,50.57
594,51.87
595,85.15
596,8.45
597,29.9
598,3.9
599,106.47
600,45.37
601,84.37
602,84.74
603,49.27
604,75.27
605,75.27
606,10.4
607,45.37
608,19.5
609,34.97
610,47.71
611,64.87
612,28.47
613,57.07
614,89.57
615,143.0
616,77.87
617,42.77
618,38.87
619,25.87
620,143.91
621,26.0
622,10.27
623,30.81
624,16.9
625,45.37
626,19.37
627,25.35
628,110.37
629,77.87
630,41.47
631,59.15
632,5.2
633,77.87
635,21.45
636,128.7
637,34.97
638,54.47
639,131.95
640,33.67
641,47.97
642,37.57
643,67.47
644,98.15
645,29.77
646,77.55
647,90.87
648,42.31
649,51.86
650,34.58
651,64.87
652,24.7
653,32.5
654,39.0
655,77.87
656,33.67
657,68.77
658,19.11
659,62.27
660,16.77
661,36.4
662,14.17
663,28.54
664,12.87
665,140.27
666,16.25
667,23.4
668,75.27
669,129.87
670,110.5
671,22.1
672,38.74
673,24.05
674,23.27
675,51.87
676,70.59
677,93.34
678,49.27
679,153.4
680,16.77
681,10.27
682,80.47
683,64.87
684,9.88
685,77.87
686,67.34
687,22.74
688,56.55
689,76.05
690,129.74
691,99.97
692,23.27
693,42.9
694,24.05
695,28.6
696,45.37
697,42.77
698,79.3
699,57.98
700,27.3
701,32.37
702,12.87
703,45.37
705,10.4
706,34.45
707,64.87
708,143.91
709,25.87
710,20.67
711,49.01
712,105.3
713,119.47
714,72.67
715,67.99
716,155.87
717,28.47
718,90.87
719,62.01
720,27.17
721,25.87
722,49.27
723,115.57
724,74.03
725,38.35
726,110.37
727,25.87
728,48.1
729,16.77
730,70.07
731,14.95
732,106.47
733,155.87
734,23.27
735,37.31
736,37.44
737,25.87
738,92.3
739,43.55
740,94.77
741,51.87
742,52.0
743,129.87
744,21.97
745,20.15
746,19.37
747,76.7
748,101.27
749,21.45
750,16.64
751,98.67
752,34.97
753,10.27
754,115.57
755,49.27
756,16.77
757,37.04
758,88.4
760,25.99
761,3.12
762,42.77
763,31.2
764,110.37
765,136.55
766,45.37
767,49.27
768,63.57
769,113.75
770,27.17
771,32.5
772,142.87
773,127.4
774,21.97
775,4.55
776,142.87
777,109.07
778,114.27
779,131.17
780,38.87
781,80.47
782,29.51
783,109.07
784,154.7
785,17.55
786,67.6
787,21.97
788,14.3
789,26.0
790,31.07
791,67.47
792,14.04
793,15.47
794,21.97
795,32.37
796,45.5
797,25.87
798,16.64
799,47.45
800,52.0
801,59.67
802,25.87
803,115.57
804,137.67
805,86.97
806,103.35
807,33.28
808,25.87
809,42.9
810,29.77
811,23.27
812,32.37
813,21.39
814,109.85
815,81.77
816,14.82
817,68.77
818,19.63
819,35.1
820,33.54
821,38.48
822,127.4
823,44.2
824,20.67
825,128.7
826,46.67
827,55.9
828,37.05
829,49.27
830,34.45
831,20.73
832,17.55
833,51.81
834,66.95
835,75.27
836,68.25
837,11.57
838,98.54
839,9.75
840,13.91
841,16.77
842,64.87
843,24.05
844,70.07
847,43.94
848,27.69
849,23.27
850,17.55
851,96.07
852,6.76
853,23.27
854,42.25
855,32.24
856,90.35
857,112.45
858,105.95
859,24.57
860,47.58
861,36.4
862,20.54
863,42.77
864,34.97
865,42.9
866,33.41
867,25.87
868,41.34
869,35.88
870,36.01
871,18.07
872,46.67
873,63.31
874,28.47
876,2.99
877,39.0
878,23.4
879,25.35
881,34.45
882,54.6
883,37.57
884,25.74
885,53.17
886,31.2
887,13.0
888,116.87
889,43.55
890,67.47
891,111.67
892,23.27
893,97.37
894,81.9
895,45.5
896,13.0
897,23.27
898,61.75
899,52.61
900,141.7
901,17.55
902,10.4
903,17.55
904,32.37
905,29.77
906,12.87
907,40.17
908,142.87
909,33.67
910,83.07
911,44.85
912,90.87
913,62.4
914,84.5
915,76.44
916,50.57
918,56.94
919,18.07
920,84.37
921,11.7
922,6.11
923,28.21
924,101.39
925,71.37
926,155.87
927,154.7
928,30.94
929,37.05
930,7.8
931,21.97
932,84.37
933,114.27
934,18.46
935,3.64
936,29.25
937,11.12
938,44.07
939,38.87
940,29.77
941,42.77
942,74.75
943,42.77
944,115.7
945,118.95
946,53.17
947,128.7
948,83.59
949,94.77
950,112.97
951,120.64
952,79.95
953,78.0
954,68.77
955,71.37
956,70.2
957,74.1
958,54.47
959,63.7
960,28.47
961,59.67
962,24.44
963,15.47
964,33.67
965,24.18
966,16.25
967,99.97
968,101.4
969,127.12
970,27.17
971,30.81
972,127.4
973,114.79
974,49.39
975,48.75
976,10.27
977,37.57
978,26.0
979,115.57
980,78.0
981,71.5
982,37.05
983,51.87
984,55.77
985,38.87
986,19.99
987,23.27
988,24.57
989,80.47
990,31.07
991,47.97
992,67.6
993,23.27
994,21.97
995,21.45
996,20.15
997,15.47
998,50.05
999,20.67
1000,16.77
1002,21.45
1003,67.47
1004,127.27
1005,91.0
1006,16.77
1007,51.87
1008,44.07
1009,22.88
1011,51.61
1012,142.87
1013,12.61
1014,103.35
1015,29.9
1016,76.7
1017,8.97
1018,108.55
1019,90.87
1020,60.97
1021,84.24
1022,61.75
1023,60.97
1024,20.67
1025,18.07
1026,63.7
1027,116.87
1028,36.4
1029,30.55
1030,37.57
1031,21.97
1032,24.05
1033,69.94
1035,24.05
1036,54.47
1037,59.67
1038,25.87
1039,44.07
1040,72.67
1041,42.77
1042,11.7
1043,45.37
1044,77.87
1045,133.25
1046,19.37
1047,52.13
1048,80.34
1049,76.05
1050,12.35
1051,129.35
1052,103.87
1053,148.2
1054,51.35
1055,37.05
1056,31.79
1057,25.61
1058,63.05
1059,99.97
1060,9.36
1061,33.54
1062,25.87
1063,10.27
1064,21.97
1065,58.36
1066,42.9
1067,24.57
1068,110.49
1069,26.9
1070,36.27
1071,46.28
1072,35.75
1073,76.7
1075,103.87
1076,3.63
1077,34.45
1078,59.67
1079,94.77
1080,137.67
1081,64.74
1082,107.77
1083,14.3
1084,24.05
1085,15.59
1086,62.4
1087,51.87
1088,116.87
1089,29.77
1090,63.57
1091,34.97
1092,58.24
1093,26.0
1094,21.97
1095,120.77
1096,81.25
1097,20.54
1098,24.57
1099,116.87
1100,27.17
1101,66.3
1102,124.67
1103,59.67
1104,16.77
1105,59.48
1106,22.04
1107,116.87
1108,51.87
1109,78.0
1110,107.77
1111,87.1
1112,88.4
1113,21.97
1114,24.57
1115,102.31
1116,22.88
1117,78.0
1118,149.5
1119,46.15
1120,64.87
1121,11.57
1122,32.21
1123,95.94
1124,23.27
1125,12.87
1126,16.77
1127,11.57
1128,22.75
1129,84.07
1130,28.47
1131,50.05
1132,73.97
1133,45.37
1135,16.9
1137,54.47
1138,5.6
1139,9.1
1140,120.51
1141,59.8
1142,26.0
1143,38.87
1144,25.35
1145,10.27
1146,11.57
1147,19.24
1148,81.77
1149,57.07
1150,20.15
1151,25.74
1152,129.87
1153,23.14
1154,63.05
1155,12.87
1156,24.57
1157,38.99
1158,37.7
1159,90.87
1160,32.37
1161,46.67
1162,28.6
1163,27.3
1164,88.27
1165,20.15
1166,43.81
1167,40.3
1168,94.77
1169,32.37
1170,38.87
1171,45.37
1172,10.66
1173,58.37
1174,42.9
1175,20.02
1176,16.77
1177,60.19
1178,45.37
1179,31.07
1180,25.35
1181,70.07
1182,40.17
1183,52.0
1184,28.47
1185,7.15
1186,22.1
1187,7.54
1188,31.07
1189,15.47
1190,100.75
1191,24.57
1192,21.45
1193,110.37
1194,74.75
1195,24.7
1196,72.8
1197,56.55
1198,63.7
1199,15.21
1200,36.53
1201,33.15
1202,51.87
1203,39.65
1204,7.67
1205,35.1
1206,123.37
1207,28.34
1208,31.07
1209,46.67
1210,21.97
1211,13.65
1212,136.37
1213,33.67
1214,65.0
1215,109.2
1216,29.64
1217,71.24
1218,19.37
1219,39.52
1220,10.66
1222,50.57
1223,18.07
1224,86.97
1225,106.46
1226,16.25
1227,16.64
1228,22.88
1229,16.9
1230,14.17
1231,119.6
1232,72.67
1233,55.9
1234,73.97
1235,73.97
1236,102.7
1237,63.44
1238,103.87
1239,88.01
1240,11.05
1241,111.67
1242,59.67
1243,98.67
1244,53.17
1245,18.85
1246,24.57
1248,16.51
1249,106.47
1250,45.37
1251,77.99
1252,77.99
1253,107.77
1254,16.12
1255,9.75
1256,84.37
1257,20.67
1258,64.87
1259,23.27
1260,59.67
1261,27.17
1262,6.37
1263,27.2
1264,41.59
1265,85.8
1266,32.5
1267,149.5
1268,64.87
1269,6.37
1270,26.65
1271,87.75
1273,27.17
1274,56.55
1275,60.45
1276,29.12
1277,34.97
1278,89.7
1279,89.44
1280,24.57
1281,4.94
1282,36.4
1283,53.29
1284,22.1
1285,14.17
1286,126.75
1287,103.87
1288,27.95
1289,53.17
1290,81.9
1291,156.0
1292,19.24
1293,54.47
1294,36.27
1295,55.7
1296,8.45
1297,14.95
1298,45.5
1299,11.05
1300,56.94
1301,136.5
1302,91.0
1303,90.87
1304,21.97
1305,7.54
1306,76.05
1307,34.97
1308,23.27
1309,68.77
1310,84.37
1311,18.07
1312,36.27
1313,16.77
1314,42.77
1315,68.77
1316,73.97
1317,16.25
1318,64.87
1319,133.89
1320,37.69
1321,22.75
1322,47.84
1324,90.87
1325,34.97
1326,6.5
1327,42.77
1328,26.0
1329,52.0
1330,29.9
1331,57.07
1332,23.27
1333,63.57
1334,18.71
1335,99.32
1336,18.72
1337,36.27
1338,106.47
1339,64.87
1340,97.37
1341,29.77
1342,46.67
1343,15.08
1344,59.67
1345,9.1
1346,48.75
1347,117.0
1348,32.37
1349,28.08
1350,42.64
1351,18.07
1352,75.4
1353,32.5
1354,21.97
1355,27.82
1356,21.45
1357,25.87
1358,23.95
1359,75.14
1360,9.1
1361,54.6
1362,71.37
1363,51.87
1365,25.09
1366,22.1
1367,101.27
1368,49.66
1369,24.57
1370,38.87
1371,75.27
1372,42.64
1373,56.55
1374,72.67
1375,24.44
1376,97.37
1377,84.5
1378,64.61
1379,49.01
1380,21.71
1381,83.2
1382,110.37
1383,16.77
1384,9.1
1385,83.85
1386,11.57
1387,33.67
1388,19.76
1389,129.87
1390,16.25
1391,104.0
1392,34.45
1393,50.85
1394,71.24
1395,24.57
1396,12.48
1397,19.37
1398,19.37
1399,54.47
1400,149.36
1401,58.37
1402,85.15
1403,88.4
1404,57.07
1405,97.5
1406,25.87
1407,38.87
1408,25.87
1409,11.57
1410,90.87
1411,25.87
1412,20.8
1413,36.4
1414,54.53
1415,154.7
1416,25.35
1417,4.03
1418,29.64
1419,124.8
1420,156.0
1421,36.14
1422,99.97
1423,58.24
1424,92.95
1425,11.57
1426,17.55
1427,76.57
1428,30.68
1429,97.37
1430,110.5
1431,28.47
1432,80.47
1433,11.7
1434,28.47
1435,42.77
1436,36.54
1437,23.4
1438,55.77
1439,133.9
1440,7.15
1441,15.34
1442,25.87
1443,78.0
1444,59.67
1445,59.67
1446,22.75
1447,28.47
1448,83.07
1449,57.07
1450,20.15
1451,12.15
1452,41.47
1453,68.77
1454,97.37
1455,95.55
1456,15.47
1458,32.5
1459,13.65
1460,12.09
1461,84.37
1462,24.05
1463,49.4
1464,25.87
1465,21.45
1466,46.8
1467,28.47
1468,49.4
1469,90.87
1470,120.77
1471,75.4
1472,36.4
1473,94.9
1474,44.98
1475,60.97
1476,116.87
1477,81.25
1478,97.37
1479,98.8
1480,76.57
1481,8.84
1482,65.0
1483,97.37
1484,83.72
1485,19.37
1486,45.37
1487,15.47
1488,24.57
1489,71.11
1490,63.57
1491,4.42
1492,9.75
1493,20.28
1494,111.67
1495,26.65
1496,70.07
1497,49.27
1498,25.87
1499,40.3
1500,99.97
1501,54.6
1502,26.0
1503,31.07
1504,16.9
1505,77.61
1506,11.57
1507,89.57
1508,20.41
1509,4.68
1510,18.07
1511,43.04
1512,28.34
1513,25.87
1514,125.71
1515,103.87
1516,62.4
1517,53.95
1518,45.37
1519,31.98
1520,16.77
1521,28.46
1522,152.1
1523,76.05
1524,57.85
1525,37.57
1526,66.3
1527,17.94
1528,89.05
1529,7.67
1530,84.37
1531,34.97
1532,51.35
1534,24.57
1535,21.97
1536,51.35
1537,19.37
1538,58.37
1539,47.97
1540,47.97
1541,101.27
1542,38.87
1543,25.87
1544,27.17
1545,16.9
1546,57.2
1547,44.07
1548,55.64
1549,29.77
1550,19.5
1551,99.97
1552,10.14
1553,40.17
1554,25.87
1555,68.77
1556,15.93
1557,29.9
1558,97.37
1559,25.35
1560,20.67
1561,17.91
1562,60.97
1563,42.77
1564,42.64
1565,122.2
1566,88.27
1567,58.37
1568,22.49
1569,68.9
1570,41.47
1571,77.87
1572,51.35
1573,44.2
1574,136.37
1575,98.15
1576,70.07
1577,44.07
1578,33.41
1579,105.3
1580,97.37
1581,14.04
1582,42.77
1583,24.44
1584,71.37
1585,70.2
1586,76.05
1587,39.0
1588,16.25
1589,81.77
1590,57.85
1591,59.8
1592,33.54
1593,87.1
1594,19.43
1595,50.7
1596,32.37
1598,88.14
1599,49.27
1601,68.64
1602,46.67
1603,19.37
1604,65.72
1605,10.01
1606,10.4
1607,16.77
1608,29.77
1609,12.87
1610,25.35
1611,32.11
1612,27.3
1613,60.97
1614,42.77
1615,21.97
1616,24.57
1617,7.67
1618,48.75
1619,36.27
1620,13.0
1621,14.04
1622,30.94
1623,109.07
1624,146.77
1625,19.5
1626,33.67
1627,156.0
1628,49.27
1629,21.71
1630,89.7
1631,84.11
1632,15.6
1633,51.35
1635,50.05
1636,140.01
1637,88.79
1638,16.64
1639,48.1
1640,29.25
1641,46.8
1642,17.94
1643,29.25
1644,21.97
1645,7.8
1646,123.11
1647,56.94
1648,102.57
1649,38.87
1650,50.57
1651,21.84
1652,23.4
1653,45.36
1654,21.97
1655,29.64
1656,53.3
1657,137.8
1658,23.27
1659,63.57
1660,37.57
1661,63.96
1662,27.95
1663,16.25
1664,27.95
1665,47.97
1666,32.37
1667,15.99
1668,32.37
1669,64.87
1671,14.17
1672,41.6
1673,142.87
1674,83.72
1675,140.27
1676,31.85
1677,12.87
1679,28.34
1680,14.95
1681,44.59
1682,57.07
1683,42.77
1684,46.67
1685,19.37
1686,81.51
1687,98.67
1688,53.95
1689,21.97
1690,49.27
1691,80.6
1692,29.77
1693,90.87
1694,107.77
1695,116.73
1696,31.07
1697,20.15
1698,41.34
1699,88.27
1700,90.87
1701,11.7
1702,46.67
1703,77.94
1704,18.85
1705,58.5
1706,19.37
1707,93.17
1708,62.4
1709,119.77
1710,10.4
1711,22.75
1712,39.65
1713,51.87
1714,30.94
1715,54.6
1716,36.27
1717,55.77
1718,47.97
1719,50.05
1721,40.17
1722,18.59
1723,40.17
1724,42.9
1725,17.94
1726,57.07
1727,24.31
1728,18.07
1729,45.37
1730,72.67
1731,36.27
1732,96.07
1733,27.17
1734,128.7
1735,42.89
1736,50.31
1737,38.74
1738,68.77
1739,11.05
1740,83.07
1741,31.2
1742,81.77
1743,45.5
1744,39.0
1745,24.18
1746,38.35
1747,99.97
1748,58.76
1749,15.47
1750,55.77
1751,90.87
1752,65.0
1754,24.57
1756,15.47
1757,110.5
1758,66.95
1759,20.28
1760,39.0
1761,8.45
1762,75.27
1763,36.27
1764,8.84
1765,34.97
1766,114.79
1767,40.17
1768,41.08
1769,4.55
1770,71.37
1771,68.9
1772,29.25
1773,36.27
1774,19.37
1775,32.5
1776,51.87
1777,56.62
1778,14.17
1779,81.77
1780,72.8
1781,54.6
1782,9.36
1783,11.05
1784,90.87
1785,16.25
1786,29.77
1787,86.97
1788,33.8
1789,81.77
1790,46.67
1791,38.35
1792,54.6
1793,28.47
1794,19.37
1795,8.84
1796,68.77
1797,97.37
1798,60.97
1799,50.57
1800,99.71
1801,71.37
1802,28.47
1803,38.87
1804,11.7
1805,111.67
1806,137.8
1807,29.9
1808,37.57
1809,36.27
1810,115.31
1811,55.12
1812,23.27
1813,44.85
1814,25.61
1815,48.75
1816,81.77
1817,61.75
1818,45.5
1819,17.81
1820,33.67
1821,57.07
1822,63.57
1823,45.37
1824,35.75
1825,64.87
1826,17.16
1827,81.25
1828,94.9
1829,14.17
1830,16.25
1831,24.31
1833,54.47
1834,33.93
1835,38.87
1837,95.94
1838,37.57
1839,58.37
1840,128.57
1841,12.61
1842,36.79
1843,109.85
1844,55.9
1845,10.14
1846,26.0
1847,99.84
1848,120.77
1849,31.2
1850,8.97
1851,63.44
1852,15.86
1853,40.3
1854,43.33
1855,44.06
1856,51.87
1857,5.46
1858,10.79
1859,90.87
1860,64.87
1861,23.27
1862,37.57
1863,40.15
1864,36.27
1865,15.59
1866,10.27
1867,47.45
1868,27.3
1869,51.87
1870,109.07
1871,138.58
1872,60.97
1873,31.85
1874,41.21
1875,142.87
1876,85.41
1877,20.54
1878,34.97
1879,125.97
1880,34.97
1881,99.97
1882,27.17
1884,99.45
1885,21.97
1886,89.05
1887,22.1
1888,109.07
1889,59.67
1890,95.33
1891,22.75
1892,20.67
1893,96.19
1894,18.2
1895,31.07
1896,23.27
1897,85.67
1898,86.97
1900,31.2
1901,17.55
1902,110.37
1903,86.97
1904,15.47
1905,12.94
1906,38.87
1907,23.66
1908,116.99
1909,60.19
1910,45.5
1911,18.98
1912,24.18
1913,20.02
1914,18.85
1915,99.97
1916,29.25
1917,9.49
1918,84.5
1919,41.47
1920,24.7
1921,21.32
1922,145.47
1923,21.31
1924,33.67
1925,129.99
1926,23.27
1927,94.9
1929,104.0
1930,21.45
1931,98.67
1932,42.77
1933,105.95
1934,19.37
1935,31.07
1936,29.7
1937,54.47
1938,31.84
1939,124.8
1940,20.67
1941,93.47
1942,7.15
1943,68.77
1944,90.87
1945,71.37
1946,22.75
1947,117.0
1948,29.77
1949,3.38
1950,54.47
1951,25.35
1952,67.47
1953,59.67
1954,25.87
1955,36.79
1956,85.8
1957,4.81
1958,20.41
1959,89.44
1960,11.96
1961,38.87
1962,80.6
1963,28.47
1964,20.8
1965,16.77
1966,110.5
1967,148.07
1968,23.4
1969,29.77
1970,51.87
1971,33.67
1972,32.37
1973,24.44
1974,58.24
1975,21.32
1976,41.47
1977,32.5
1978,77.99
1979,21.06
1980,24.57
1981,23.27
1982,45.37
1983,45.37
1984,28.6
1986,19.37
1987,144.17
1988,24.18
1989,25.87
1990,50.7
1991,109.07
1992,57.2
1993,42.9
1994,50.05
1995,53.95
1996,78.65
1997,74.75
1998,18.07
1999,19.37
2000,44.07
2001,123.11
2002,31.2
2003,93.47
2004,30.33
2005,19.37
2006,59.96
2007,149.37
2008,135.76
2009,15.47
2010,34.97
2011,58.37
2012,66.17
2013,21.97
2014,40.82
2015,41.47
2016,76.7
2017,45.37
2018,12.87
2019,106.21
2020,41.6
2021,47.97
2022,6.37
2023,73.97
2024,94.77
2026,4.03
2027,67.47
2028,18.07
2029,35.75
2030,27.17
2031,47.97
2033,116.87
2034,32.37
2035,4.55
2036,24.57
2037,33.67
2038,34.97
2039,65.0
2040,49.27
2041,38.87
2042,54.47
2043,17.94
2044,96.07
2045,25.87
2046,90.87
2047,24.5
2048,22.1
2049,52.0
2050,54.6
2051,24.05
2052,18.2
2053,15.21
2054,33.8
2055,17.16
2056,10.4
2057,64.99
2058,62.27
2059,25.87
2060,51.87
2061,25.87
2062,97.5
2063,80.47
2064,37.57
2065,33.79
2066,30.94
2067,17.94
2068,15.47
2069,15.6
2070,12.74
2071,66.95
2072,23.27
2073,32.5
2074,34.97
2075,12.87
2076,36.4
2077,14.95
2078,12.68
2079,32.37
2080,16.9
2081,36.1
2082,51.87
2083,34.97
2084,33.15
2085,27.3
2086,58.5
2087,27.82
2088,33.67
2089,18.07
2090,128.57
2091,25.93
2092,16.9
2093,27.33
2094,44.07
2095,115.57
2096,54.47
2097,45.37
2098,33.67
2099,18.98
2100,104.0
2101,132.34
2102,27.17
2103,23.27
2104,77.87
2105,27.17
2106,27.3
2107,40.95
2108,64.87
2109,15.73
2110,9.04
2111,53.17
2112,20.8
2113,15.47
2114,20.41
2115,33.15
2116,24.57
2117,22.1
2118,71.37
2119,73.97
2120,46.67
2121,34.58
2122,83.07
2123,31.66
2124,32.37
2125,23.14
2126,51.87
2127,13.0
2128,42.25
2129,111.15
2130,23.14
2131,46.15
2132,111.8
2133,29.77
2134,20.8
2135,25.87
2136,18.2
2137,4.16
2138,25.09
2139,25.87
2140,128.7
2141,27.82
2142,62.4
2143,74.81
2144,103.74
2145,46.67
2146,39.65
2147,22.1
2148,88.4
2149,103.86
2150,24.57
2151,25.87
2152,89.7
2153,21.97
2154,24.05
2155,103.35
2156,66.17
2157,51.87
2158,42.9
2159,32.37
2160,15.6
2161,52.0
2162,34.97
2163,116.35
2164,98.8
2165,71.37
2166,25.87
2167,54.6
2168,15.34
2169,21.84
2170,22.62
2171,20.28
2172,25.87
2173,77.87
2174,89.05
2175,138.97
2176,53.95
2177,42.9
2178,16.77
2179,27.17
2180,45.37
2181,88.27
2182,41.6
2183,72.67
2184,12.87
2185,8.71
